Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2017,ANDOVER,1694682,1689263,4601,170011,90,39103,0.04
2017,ANSONIA,31521660,31420774,155236,3521954,1601,809978,0.86
2017,ASHFORD,4819736,4775564,24994,391084,220,89949,0.1
2017,AVON,4095491,4015476,15116,352778,257,81139,0.09
2017,BARKHAMSTED,2045530,2030811,7550,221893,119,51034,0.05
2017,BEACON FALLS,4117768,4091438,21283,356779,205,82060,0.09
2017,BERLIN,10744139,10697920,49661,1025027,575,235754,0.25
2017,BETHANY,1243333,1227368,7151,164604,132,37859,0.04
2017,BETHEL,13079978,13039621,58490,1247432,677,286908,0.31
2017,BETHLEHEM,2004860,1999804,8015,177449,105,40814,0.04
2017,BLOOMFIELD,26491981,26377663,143915,2411828,1302,554045,0.59
2017,BOLTON,2104803,2091482,9352,206900,107,47588,0.05
2017,BOZRAH,2163884,2157395,12447,174481,102,40131,0.04
2017,BRANFORD,19913719,19793035,83808,1841951,1114,423574,0.45
2017,BRIDGEPORT,307764416,307094156,1288885,37401373,15821,8605303,9.16
2017,BRIDGEWATER,561054,554808,2871,41944,34,9647,0.01
2017,BRISTOL,74649877,74421941,316754,8277461,3847,1905646,2.03
2017,BROOKFIELD,7980882,7946899,35347,754914,444,173629,0.18
2017,BROOKLYN,7717222,7673384,36170,740149,402,171688,0.18
2017,BURLINGTON,3450889,3398696,12565,298122,187,68569,0.07
2017,CANAAN,4292522,4283462,15832,423733,221,97459,0.1
2017,CANTERBURY,5056970,5039429,21536,492888,245,113863,0.12
2017,CANTON,3726249,3686057,17506,368324,215,84714,0.09
2017,CHAPLIN,1922119,1911724,7515,186257,105,42839,0.05
2017,CHESHIRE,9886947,9839225,38205,946390,569,217669,0.23
2017,CHESTER,1998603,1990274,7465,179548,109,41296,0.04
2017,CLINTON,8842029,8795332,38007,858986,502,198780,0.21
2017,COLCHESTER,11627694,11551402,56438,1096447,607,252182,0.27
2017,COLEBROOK,890292,890157,1360,101060,49,23244,0.02
2017,COLUMBIA,2996482,2992815,14545,264719,150,60885,0.06
2017,CORNWALL,1102133,1095470,5022,127643,72,29358,0.03
2017,COVENTRY,7717867,7670899,33267,743971,413,171113,0.18
2017,CROMWELL,8824715,8556273,47075,801305,471,184299,0.2
2017,DANBURY,98186431,97953935,389435,10410513,4825,2394306,2.55
2017,DARIEN,2390703,2361980,14689,314490,186,72333,0.08
2017,DEEP RIVER,3333821,3325904,16262,291357,175,67011,0.07
2017,DERBY,18077793,18007322,83208,1925692,916,442887,0.47
2017,DURHAM,2555278,2535040,10831,253245,152,58247,0.06
2017,EASTFORD,798179,796416,3190,69491,38,15983,0.02
2017,EAST GRANBY,2285029,2282754,10111,243590,120,56026,0.06
2017,EAST HADDAM,4756097,4700130,21353,419239,263,96424,0.1
2017,EAST HAMPTON,6154149,6093052,22986,589914,355,135680,0.14
2017,EAST HARTFORD,102623550,102317294,487349,11313623,4976,2602296,2.77
2017,EAST HAVEN,30985431,30834698,140664,3164398,1612,728707,0.78
2017,EAST LYME,10051077,10005591,43261,965522,520,222080,0.24
2017,EASTON,1457170,1451917,4980,159262,94,36630,0.04
2017,EAST WINDSOR,10418451,10392979,50582,1088956,565,250461,0.27
