Municipality or borough code,Municipality or borough name
1,Andover
2,Ansonia
3,Ashford
4,Avon
5,Barkhamsted
6,Beacon Falls
7,Berlin
8,Bethany
9,Bethel
10,Bethlehem
11,Bloomfield
12,Bolton
13,Bozrah
14,Branford
15,Bridgeport
16,Bridgewater
17,Bristol
18,Brookfield
19,Brooklyn
20,Burlington
21,Canaan
22,Canterbury
23,Canton
24,Chaplin
25,Cheshire
26,Chester
27,Clinton
28,Colchester
29,Colebrook
30,Columbia
31,Cornwall
32,Coventry
33,Cromwell
34,Danbury
35,Darien
36,Deep River
37,Derby
38,Durham
39,Eastford
40,East Granby
41,East Haddam
42,East Hampton
43,East Hartford
44,East Haven
45,East Lyme
46,Easton
47,East Windsor
48,Ellington
49,Enfield
50,Essex
51,Fairfield
52,Farmington
53,Franklin
54,Glastonbury
55,Goshen
56,Granby
57,Greenwich
58,Griswold
59,Groton
60,Guilford
61,Haddam
62,Hamden
63,Hampton
64,Hartford
65,Hartland
66,Harwinton
67,Hebron
68,Kent
69,Killingly
70,Killingworth
71,Lebanon
72,Ledyard
73,Lisbon
74,Litchfield
75,Lyme
76,Madison
77,Manchester
78,Mansfield
79,Marlborough
80,Meriden
81,Middlebury
82,Middlefield
83,Middletown
84,Milford
85,Monroe
86,Montville
87,Morris
88,Naugatuck
89,New Britain
90,New Canaan
91,New Fairfield
92,New Hartford
93,New Haven
94,Newington
95,New London
96,New Milford
97,Newtown
98,Norfolk
99,North Branford
100,North Canaan
101,North Haven
102,North Stonington
103,Norwalk
104,Norwich
105,Old Lyme
106,Old Saybrook
107,Orange
108,Oxford
109,Plainfield
110,Plainville
111,Plymouth
112,Pomfret
113,Portland
114,Preston
115,Prospect
116,Putnam
117,Redding
118,Ridgefield
119,Rocky Hill
120,Roxbury
121,Salem
122,Salisbury
123,Scotland
124,Seymour
125,Sharon
126,Shelton
127,Sherman
128,Simsbury
129,Somers
130,Southbury
131,Southington
132,South Windsor
133,Sprague
134,Stafford
135,Stamford
136,Sterling
137,Stonington
138,Stratford
139,Suffield
140,Thomaston
141,Thompson
142,Tolland
143,Torrington
144,Trumbull
145,Union
146,Vernon
147,Voluntown
148,Wallingford
149,Warren
150,Washington
151,Waterbury
152,Waterford
153,Watertown
154,Westbrook
155,West Hartford
156,West Haven
157,Weston
158,Westport
159,Wethersfield
160,Willington
161,Wilton
162,Winchester
163,Windham
164,Windsor
165,Windsor Locks
166,Wolcott
167,Woodbridge
168,Woodbury
169,Woodstock
501,Groton-City
601,Bantam
603,Danielson
604,Fenwick
605,Groton Long Point
606,Jewett City
607,Litchfield (Bor)
608,Newtown (Bor)
610,Stonington (Bor)
611,Woodmont
