Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Andover,2011,1,1491,3.42,9.614843969637334,80.64396922360687,Tolland
Ansonia,2011,2,8229,14.56,40.933370818105146,49.884088938392665,New Haven
Ashford,2011,3,1995,3.57,10.036547652516164,76.12658899390051,Windham
Avon,2011,4,7984,3.6,10.120888389091933,95.59466738022101,Hartford
Barkhamsted,2011,5,1796,0.88,2.4739949395558054,85.34845290700055,Litchfield
Beacon Falls,2011,6,2689,1.24,3.4860837784649985,73.96081857186968,New Haven
Berlin,2011,7,9451,7.2,20.241776778183866,83.63397034825435,Hartford
Bethany,2011,8,2447,0.05,0.1405678942929435,91.30721581070156,New Haven
Bethel,2011,9,8189,5.18,14.562833848748946,76.69436411235333,Fairfield
Bethlehem,2011,10,1618,1.52,4.273263986505483,79.72211425340386,Litchfield
Bloomfield,2011,11,10322,11.38,31.993252741073942,78.07256761666665,Hartford
Bolton,2011,12,2343,0.89,2.5021085184143943,84.61479267181302,Tolland
Bozrah,2011,13,1144,1.89,5.313466404273264,74.22205681118001,New London
Branford,2011,14,13599,3.24,9.10879955018274,85.88592239723943,New Haven
Bridgeport,2011,15,56379,18.08,50.829350576328366,3.797346170958434,Fairfield
Bridgewater,2011,16,773,0.23,0.6466123137475401,92.06412303044799,Litchfield
Bristol,2011,17,27309,13.24,37.22237840877144,64.53656501255082,Hartford
Brookfield,2011,18,7420,2.0,5.62271577171774,85.25503125303646,Fairfield
Brooklyn,2011,19,3245,9.43,26.51110486364914,69.23312587642161,Windham
Burlington,2011,20,4057,1.56,4.385718301939837,89.3306873376938,Hartford
Canaan,2011,21,1805,4.49,12.622996907506327,68.69542166208865,Litchfield
Canterbury,2011,22,2278,5.29,14.872083216193422,70.34934860268407,Windham
Canton,2011,23,4487,7.26,20.410458251335395,90.67829789905842,Hartford
Chaplin,2011,24,1014,2.43,6.831599662637054,68.91795317164376,Windham
Cheshire,2011,25,11720,3.16,8.883890919314029,90.4298966862467,New Haven
Chester,2011,26,1719,1.77,4.9761034579702,85.32604861959268,Middlesex
Clinton,2011,27,6044,2.16,6.0725330334551595,80.80724142693319,Middlesex
Colchester,2011,28,7089,7.67,21.56311498453753,78.40675279846168,New London
Colebrook,2011,29,289,1.11,3.120607253303346,85.52965588998441,Litchfield
Columbia,2011,30,2538,2.82,7.928029238122012,79.41956039620302,Tolland
Cornwall,2011,31,701,1.79,5.0323306156873775,81.69367848958976,Litchfield
Coventry,2011,32,5541,4.8,13.494517852122575,79.80866609910998,Tolland
Cromwell,2011,33,6736,6.95,19.538937306719145,83.07830408341802,Middlesex
Danbury,2011,34,32974,10.03,28.197919595164464,60.25203800283894,Fairfield
Darien,2011,35,7849,2.62,7.36575766095024,99.24440279041477,Fairfield
Deep River,2011,36,2117,2.48,6.972167556929997,83.51471829842627,Middlesex
Derby,2011,37,5596,10.72,30.13775653640709,58.057524862025545,New Haven
Durham,2011,38,3211,1.67,4.6949676693843125,90.02396714316839,Middlesex
Eastford,2011,39,664,2.02,5.678942929434918,75.15931658154528,Windham
East Granby,2011,40,2381,4.79,13.466404273263986,82.60714249100772,Hartford
East Haddam,2011,41,3584,2.31,6.494236716333989,83.07491715781693,Middlesex
East Hampton,2011,42,5927,3.01,8.462187236435199,77.43382472306351,Middlesex
East Hartford,2011,43,23466,15.57,43.77284228282261,45.769870766851405,Hartford
East Haven,2011,44,13057,7.73,21.731796457689065,69.17055231915504,New Haven
East Lyme,2011,45,8028,5.81,16.333989316840032,82.59225269927123,New London
Easton,2011,46,3049,1.62,4.55439977509137,95.0441789699065,Fairfield
East Windsor,2011,47,5322,13.7,38.51560303626652,82.12113791412898,Hartford
Ellington,2011,48,7024,5.03,14.141130165870116,81.89699742805644,Tolland
Enfield,2011,49,19111,12.01,33.764408209165026,64.15657694121552,Hartford
Essex,2011,50,3127,1.47,4.132696092212539,89.64040669795546,Middlesex
Fairfield,2011,51,23179,2.63,7.393871239808828,92.31668609458268,Fairfield
Farmington,2011,52,11682,7.54,21.19763845937588,92.45457398908538,Hartford
Franklin,2011,53,865,2.08,5.847624402586449,69.53279062766353,New London
Glastonbury,2011,54,15078,5.51,15.490581951082373,91.15045258791454,Hartford
Goshen,2011,55,1281,0.42,1.1807703120607254,84.85563388330324,Litchfield
Granby,2011,56,4881,2.87,8.068597132414958,88.89115230121662,Hartford
Greenwich,2011,57,25611,4.88,13.719426482991285,99.26406125633594,Fairfield
Griswold,2011,58,5536,6.21,17.45853247118358,61.509787939338544,New London
Groton,2011,59,10729,20.41,57.379814450379534,62.20911444864823,New London
Guilford,2011,60,9667,2.09,5.875737981445038,92.90079029588694,New Haven
Haddam,2011,61,3708,1.06,2.9800393590104024,85.1158550975801,Middlesex
Hamden,2011,62,24938,6.57,18.470621310092778,76.27277130279583,New Haven
Hampton,2011,63,1087,2.02,5.678942929434918,75.3471855891822,Windham
Hartford,2011,64,47192,35.57,100.0,-1.4210854715202004e-14,Hartford
Hartland,2011,65,743,0.7,1.9679505201012089,80.6004490702839,Hartford
Harwinton,2011,66,2484,1.97,5.538375035141974,85.4036989449211,Litchfield
Hebron,2011,67,4062,2.58,7.253303345515884,86.67438619413595,Tolland
Kent,2011,68,1246,4.62,12.988473432667979,83.89479309150317,Litchfield
Killingly,2011,69,7528,11.92,33.51138599943773,44.076644908251126,Windham
Killingworth,2011,70,2833,0.42,1.1807703120607254,91.67405595517631,Middlesex
Lebanon,2011,71,3185,2.5,7.028394714647175,74.32407892308173,New London
Ledyard,2011,72,6547,3.29,9.249367444475682,74.63008253863624,New London
Lisbon,2011,73,1612,2.14,6.016305875737982,71.51699436987695,New London
Litchfield,2011,74,3666,4.58,12.876019117233625,87.80152754794653,Litchfield
Lyme,2011,75,917,0.74,2.0804048355355635,92.31852862939662,New London
Madison,2011,76,7797,1.58,4.441945459657014,94.4090634099873,New Haven
Manchester,2011,77,26921,14.4,40.48355355636773,65.89865789892232,Hartford
Mansfield,2011,78,5460,10.87,30.559460219285913,80.2441353104188,Tolland
Marlborough,2011,79,2757,1.67,4.6949676693843125,86.70924661023531,Hartford
Meriden,2011,80,26313,14.57,40.96148439696373,51.660669557260576,New Haven
Middlebury,2011,81,3342,3.28,9.221253865617093,90.06527915238867,New Haven
Middlefield,2011,82,1979,2.2,6.184987348889514,82.01080327791374,Middlesex
Middletown,2011,83,20105,22.26,62.58082653921845,71.0647230616452,Middlesex
Milford,2011,84,24874,6.08,17.09305594602193,86.72790312168007,New Haven
Monroe,2011,85,8418,0.8,2.249086308687096,88.4940600748162,Fairfield
Montville,2011,86,8111,3.89,10.936182175991004,66.01286396389908,New London
Morris,2011,87,999,1.67,4.6949676693843125,83.97743446891424,Litchfield
Naugatuck,2011,88,14030,8.16,22.940680348608378,61.254224814628266,New Haven
New Britain,2011,89,29407,19.82,55.7211132977228,22.027008751001574,Hartford
New Canaan,2011,90,7852,2.42,6.803486083778465,100.0,Fairfield
New Fairfield,2011,91,5921,0.63,1.7711554680910881,80.51945914733693,Fairfield
New Hartford,2011,92,3095,2.16,6.0725330334551595,87.40315991997092,Litchfield
New Haven,2011,93,45589,29.0,81.52937868990723,51.40000662385369,New Haven
Newington,2011,94,14833,7.01,19.70761877987068,66.07973561531088,Hartford
