"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Andover","0901301080","2005-2009","All","Number","Median Household Income",84757.0
"Andover","0901301080","2005-2009","All","Number","Margins of Error",9003.0
"Andover","0901301080","2005-2009","All","Ratio to State Median","Median Household Income",1.25
"Andover","0901301080","2005-2009","All","Ratio to State Median","Margins of Error",0.13
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Asian Alone","Number","Median Household Income",250001.0
"Andover","0901301080","2005-2009","Asian Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Asian Alone","Ratio to State Median","Median Household Income",3.04
"Andover","0901301080","2005-2009","Asian Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Black or African American Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Black or African American Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Black or African American Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Black or African American Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Hispanic or Latino","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Hispanic or Latino","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Hispanic or Latino","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Hispanic or Latino","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Some Other Race Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Some Other Race Alone","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Some Other Race Alone","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Some Other Race Alone","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Two or More Races","Number","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Two or More Races","Number","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","Two or More Races","Ratio to State Median","Median Household Income",-9999.0
"Andover","0901301080","2005-2009","Two or More Races","Ratio to State Median","Margins of Error",-9999.0
"Andover","0901301080","2005-2009","White Alone","Number","Median Household Income",84896.0
"Andover","0901301080","2005-2009","White Alone","Number","Margins of Error",9041.0
"Andover","0901301080","2005-2009","White Alone","Ratio to State Median","Median Household Income",1.17
"Andover","0901301080","2005-2009","White Alone","Ratio to State Median","Margins of Error",0.12
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Number","Median Household Income",84896.0
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",9041.0
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1.14
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.12
"Andover","0901301080","2006-2010","All","Number","Median Household Income",84274.0
"Andover","0901301080","2006-2010","All","Number","Margins of Error",11540.0
"Andover","0901301080","2006-2010","All","Ratio to State Median","Median Household Income",1.24
"Andover","0901301080","2006-2010","All","Ratio to State Median","Margins of Error",0.17
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Number","Median Household Income",-9999.0
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",-9999.0
